as_of_date,ticker,holding_name,bucket,target_weight,current_weight,min_weight,max_weight,control_layers,exposure_map,thesis,risk_flags,action_bias,notes
2026-05-21,MSFT,Microsoft,Core Compounders,18,18,14,22,authority;outcome,authority:18;outcome:10,Authority control plus outcome workflow distribution through identity runtime audit and GitHub,valuation risk;antitrust;execution risk,hold,Final calibrated seed allocation from user framework
2026-05-21,GOOGL,Alphabet,Core Compounders,15,15,11,19,capacity;cost;authority;outcome,cost:8;authority:15;outcome:8,Full-stack TPU DeepMind Workspace Search Cloud and capacity integration exposure,regulatory risk;search disruption;capex pressure,hold,Final calibrated seed allocation from user framework
2026-05-21,AVGO,Broadcom,Core Compounders,10,10,7,13,cost;capacity,capacity:5;cost:5,Custom silicon and networking beneficiary with VMware distribution,customer concentration;cycle risk,hold,Seed allocation from user framework
2026-05-21,TSM,TSMC,Core Compounders,7,7,5,10,capacity,capacity:7,Foundry and advanced packaging bottleneck for AI silicon,geopolitical risk;overseas fab cost;fx risk,hold,Seed allocation from user framework
2026-05-21,NVDA,NVIDIA,Core Compounders,7,7,5,9,capacity;cost,capacity:7;cost:5,AI factory operating-layer and frontier platform infrastructure moat with bypass risk acknowledged,custom silicon bypass;margin compression;export control,hold,Final calibrated +2 pct because position now matches platform-infra thesis
2026-05-21,000660.KS,SK Hynix,Bottleneck Cyclicals,8,8,5,11,capacity,capacity:8,HBM4 primary supplier exposure in Vera Rubin generation with quarterly Samsung share review,memory cycle;customer concentration;Korea listing risk;Samsung share shift,hold,Final calibrated seed allocation from user framework
2026-05-21,CEG,Constellation Energy,Bottleneck Cyclicals,5,5,3,7,capacity,capacity:5,Nodal power scarcity exposure with alpha dependent on node-level transmission and interconnection underwriting,policy risk;power price risk;valuation risk;interconnection delay risk,hold,Final calibrated -2 pct after nodal microstructure critique
2026-05-21,VRT,Vertiv,Bottleneck Cyclicals,5,5,3,8,capacity,capacity:5,Data center thermal and power infrastructure pure play,cycle risk;execution risk;valuation risk,hold,Seed allocation from user framework
2026-05-21,MSCI,MSCI,Vertical Verifier Basket,2,2,1,3,outcome,outcome:2,Financial index data and workflow verifier exposure inside diversified vertical-verifier basket,valuation risk;financial-market cyclicality,hold,Final calibrated basket allocation from user framework
2026-05-21,MCO,Moody's,Vertical Verifier Basket,2,2,1,3,outcome,outcome:2,Credit risk verifier exposure inside diversified vertical-verifier basket,valuation risk;credit cycle risk;regulatory risk,hold,Final calibrated basket allocation from user framework
2026-05-21,SPGI,S&P Global,Vertical Verifier Basket,2,2,1,3,outcome,outcome:2,Ratings data and analytics verifier exposure inside diversified vertical-verifier basket,valuation risk;credit cycle risk;regulatory risk,hold,Final calibrated basket allocation from user framework
2026-05-21,VEEV,Veeva Systems,Vertical Verifier Basket,2,2,1,3,outcome,outcome:2,Life sciences workflow verifier exposure inside diversified vertical-verifier basket,valuation risk;vertical adoption risk;healthcare IT cycle risk,hold,Final calibrated basket allocation from user framework
2026-05-21,TER,Teradyne,Asymmetric Optionality,7,7,4,10,capacity;physical_ai,capacity:5;physical_ai:2,Semiconductor test cycle core exposure plus humanoid robotics optionality,semi cycle;robotics execution risk;cycle timing risk,hold,Final calibrated thesis relabel from pure physical AI to semitest plus robotics option
2026-05-21,CASH,Cash,Dry Powder,10,10,5,20,risk_control,risk_control:10,Option value for capex narrative crack or regulatory shock,cash drag,hold,Seed allocation from user framework
