as_of_date,indicator_id,control_layer,indicator_name,indicator_group,metric_name,current_value,target_value,warning_value,unit,direction,status,importance_score,confidence,source,source_url,notes
2026-05-21,capacity_hbm4_supplier_concentration,capacity,HBM4 supplier concentration in Vera Rubin generation,memory,hbm4_micron_share,5,10,30,pct,lower_is_bullish,green,5,0.45,user_framework_seed,,Micron share is a thesis seed and must be verified before position sizing
2026-05-21,capacity_cowos_packaging_tightness,capacity,Advanced packaging tightness,advanced_packaging,cowos_capacity_tightness,,,,utilization_proxy,higher_is_bullish,unknown,5,0.25,user_framework_seed,,Track TSMC CoWoS expansion lead times pricing and backlog
2026-05-21,capacity_nodal_power_scarcity,capacity,Nodal power scarcity for AI data centers,power,power_scarcity_score,,,,scarcity_score,higher_is_bullish,unknown,4,0.25,user_framework_seed,,Track nuclear PPAs interconnect queues and hyperscaler site constraints
2026-05-21,cost_custom_silicon_inference_share,cost,Hyperscaler custom silicon share of frontier inference,custom_silicon,frontier_inference_share,12.5,25,15,pct,higher_is_bullish,yellow,5,0.40,user_framework_seed,,Seed uses thesis range for 2025 baseline and needs external verification
2026-05-21,cost_risk_adjusted_verified_task_index,cost,Risk-adjusted cost per verified task,total_cost_of_agent_ownership,risk_adjusted_cost_per_verified_task_index,,90,110,index,lower_is_bullish,unknown,5,0.25,user_framework_seed,,Track whether TCAO declines after inference tool latency review integration compliance and failure costs
2026-05-21,cost_frontier_gpu_volume_expansion,cost,Frontier GPU workload volume expansion,frontier_compute,nvda_data_center_yoy,75,40,10,pct,higher_is_bullish,green,5,0.45,user_framework_seed,,User-supplied NVDA data-center growth signal
2026-05-21,cost_networking_growth_signal,cost,AI factory networking growth signal,networking,nvda_networking_yoy,263,50,20,pct,higher_is_bullish,green,4,0.45,user_framework_seed,,User-supplied networking growth signal for AI factory buildout
2026-05-21,authority_agent_control_plane_penetration,authority,Enterprise agent control-plane penetration,control_plane,fortune500_control_plane_deployment,,20,5,pct,higher_is_bullish,unknown,5,0.25,user_framework_seed,,Track Agent 365 and equivalent authority layer deployments
2026-05-21,authority_write_permission_penetration,authority,Agents with production write permission,write_permission,fortune500_write_permission_deployment,,20,5,pct,higher_is_bullish,unknown,5,0.25,user_framework_seed,,Core trust plateau indicator
2026-05-21,authority_expert_review_minutes,authority,Expert review minutes per verified task,human_attention,expert_minutes_per_verified_task,20,5,15,minutes,lower_is_bullish,red,5,0.40,user_framework_seed,,Human attention bottleneck remains binding until routed review minutes fall
2026-05-21,outcome_vertical_verifier_rerating_count,outcome,Vertical verifier public-market rerating count,vertical_verifier,rerated_vertical_incumbents_count,0,2,1,count,higher_is_bullish,red,4,0.35,user_framework_seed,,Track MCO SPGI Veeva IDXX MSCI style reratings
2026-05-21,outcome_proprietary_verifier_data_score,outcome,Proprietary verifier data monetization,verifier_data,verifier_data_monetization_score,,70,40,score,higher_is_bullish,unknown,4,0.25,user_framework_seed,,Qualitative score for trusted outcome-label ownership
2026-05-21,meta_metr_task_horizon_doubling_time,meta,METR task-horizon doubling time,capability_scaling,task_horizon_doubling_time,89,60,120,days,lower_is_bullish,yellow,5,0.40,user_framework_seed,,Capability scaling speed from user thesis seed
2026-05-21,meta_linji_capability_frontier_assessment,meta,Linji qualitative capability frontier assessment,research_edge,linji_capability_frontier_score,,70,40,score,higher_is_bullish,unknown,5,0.25,user_framework_seed,,Manual post-paper or post-conference assessment of capability frontier and verification bottlenecks
2026-05-21,watchlist_agent_runtime_security_revenue_share,watchlist,Agent runtime security and observability monetization,agent_runtime_security,agent_specific_revenue_share,,10,3,pct,higher_is_bullish,unknown,4,0.25,user_framework_seed,,Track DDOG CRWD PANW OKTA and private agent infra proxies for agent-specific revenue or IPO trigger
